respondent_id,years_since_first_design_project,"Before this course, have you used traditional rendering methods (such as such as modeling with SketchUp/Rhino/Revit, rendering with VRay/Lumion/Enscape, or image editing with Photoshop/Illustrator) to create images?",How would you rate your experience with traditional rendering methods? (Photoshop),Have you used AI-generative tools to generate images?,"Compared to traditional rendering, for each of the following aspects, please indicate the advantages of AI-generated images",Realsim [Overall quality and realism of the image?],Realsim [Material],Realsim [Scale],Realsim [Lighting and shadow],"Design Rationality [Integration with surroundings (eg. landscape elements, nearby structures)?)]",Design Rationality [Layout and functionality],Design Rationality [Meeting prompt requirements],Adherence to Instructions [Reflecting the intended style],Adherence to Instructions [Logical and practical coherence],Adherence to Instructions [Accuracy of key element representation],Adherence to Instructions [Style or aesthetic appeal],Will you apply AI tools in your future project?,"Reflecting on your experience, please share your thoughts on using AI-generated images for this project."
R01,0,Yes,Moderate,Midjourney,"Tool usability, Speed of image generation",Neutral,Neutral,Neutral,Neutral,Good,Good,Poor,Good,Good,Good,Neutral,No,
R02,1.5,Yes,Moderate,Midjourney,"Cost, Speed of image generation, Customizability of generated images",Good,Excellent,Neutral,Good,Neutral,Poor,Good,Good,Neutral,Good,Excellent,Yes,"AI-generated images and tools are very accessible and easy to learn. They generate quick images that I primarily used for the design process, not the final production. Overall, it was useful in generating ideas and experimenting with materiality."
R03,2,Yes,Moderate,Midjourney,"Tool usability, Speed of image generation",Neutral,Neutral,Good,Good,Good,Neutral,Neutral,Neutral,Neutral,Neutral,Good,Yes,
R04,3,No,Moderate,"ChatGPT, Copliot, or other text-based AI applications, Sketchup Diffusion",Tool usability,Good,Neutral,Excellent,Neutral,Very poor,Excellent,Good,Excellent,Neutral,Excellent,Neutral,Yes,Biggest issue was it had issues knowing difference between pavement and grass
R05,2,Yes,Satisfied,Midjourney,"Tool usability, Speed of image generation, Quality and clarity of the generated image, Customizability of generated images",Good,Good,Excellent,Excellent,Neutral,Good,Poor,Good,Good,Good,Good,Yes,Using AI-generated images helped our group visualize the materials and scale. we were also able to get inspiration from midjourney renders.
R06,0,Yes,Satisfied,"Midjourney, Sketchup Diffusion","Cost, Quality and clarity of the generated image, Customizability of generated images",Neutral,Neutral,Poor,Good,Neutral,Good,Excellent,Good,Neutral,Poor,Good,Yes,I really liked it and would love to keep exploring it
R07,2,Yes,Moderate,Midjourney,Tool usability,Neutral,Neutral,Poor,Poor,Poor,Neutral,Good,Good,Poor,Good,Excellent,Yes,I am glad we are learning to use this tool even if it is slightly unpredictable it inspires new design strategies.
R08,2,Yes,Very satisfied,"ChatGPT, Copliot, or other text-based AI applications, Midjourney, Others","Tool usability, Speed of image generation, Quality and clarity of the generated image, Customizability of generated images",Excellent,Neutral,Neutral,Good,Neutral,Neutral,Neutral,Neutral,Excellent,Good,Excellent,Yes,I think using AI-generated images is very insightful and prompts advantages in a way that closes the gap between reality and imagination. AI tools are very helpful in creating a real image based upon one's own individual ideas and even sometimes offering new design choices to be implemented prompting the further development of a project itself.
R09,,Yes,Satisfied,No,"Cost, Tool usability",Good,Excellent,Good,Neutral,Neutral,Good,Neutral,Neutral,Neutral,Good,Good,Yes,"The use of AI-generated images allows me to visualize my thoughts and ideas about texture, color, material, and application in real life scenarios."
R10,2,Yes,Satisfied,"ChatGPT, Copliot, or other text-based AI applications, Midjourney, Others","Cost, Speed of image generation, Quality and clarity of the generated image",Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Yes,"I thought it was very useful in being able to see our projects come to life. Also after using the AI tools, some new discoveries were found in our project that could better its functionality and purpose."
R11,2,Yes,Very satisfied,"ChatGPT, Copliot, or other text-based AI applications, Sketchup Diffusion",Speed of image generation,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes,
R12,1,Yes,Moderate,"Midjourney, Others","Tool usability, Speed of image generation, Others",Good,Good,Neutral,Neutral,Poor,Very poor,Poor,Neutral,Poor,Poor,Good,Yes,"I thought it went well. I like using AI as inspiration for design elements like materiality. However, it's unreliable to create anything that is habitable or complete."
R13,2,Yes,Moderate,"Midjourney, Others","Cost, Speed of image generation",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,Neutral,Neutral,Neutral,Good,Yes,"It is best for quick idea generation and aesthetically pleasing images, but it is still too primitive to be used for final design submissions"
R14,5,Yes,Moderate,"ChatGPT, Copliot, or other text-based AI applications, Midjourney","Speed of image generation, Customizability of generated images",Good,Good,Poor,Neutral,Poor,Neutral,Neutral,Good,Poor,Very poor,Good,Yes,
R15,1.5,No,Moderate,Midjourney,"Tool usability, Speed of image generation, Quality and clarity of the generated image",Excellent,Neutral,Excellent,Excellent,Good,Good,Neutral,Neutral,Good,Neutral,Good,Yes,"AI imaging was a very helpful tool to show how the museum my group made was like in the real world, which creating tools like rhino don’t do with the realistic materials and settings that AI does. Although the AI tool was not able to fully generate a clear image of our museums intention (due to intricate design), it was still able to take our design and give us more ideas for future development such as how we can use the hill and make it into something with the shapes we used for the building."
R16,1.5,Yes,Moderate,Others,Cost,Neutral,Neutral,Neutral,Poor,Neutral,Neutral,Good,Good,Good,Neutral,Good,Yes,
R17,1.5,Yes,Very satisfied,Midjourney,"Cost, Tool usability, Speed of image generation",Poor,Good,Neutral,Excellent,Neutral,Poor,Good,Excellent,Poor,Good,Good,Yes,"AI generated images are a good jumping off point for rendering elsewhere, since you can quickly test different materials and styles. The issue is, for example with Midjourney, even when uploading an image of your design to incorporate, it cannot actually render your design, instead mashing together some strange idea of your design with the materials and style you provide. Vera is much more useful obviously for actual design development for materials, the only issue being the low number of images you can get before switching to another email or paying for the program. Overall, AI is useful for development but not for a finished project."
R18,,No,Satisfied,"ChatGPT, Copliot, or other text-based AI applications, Midjourney, Others","Tool usability, Speed of image generation, Quality and clarity of the generated image, Customizability of generated images, Others",Neutral,Neutral,Excellent,Good,Poor,Good,Neutral,Good,Poor,Neutral,Excellent,Yes,"AI-generated images are important to not only to get a better idea of your project, but also for the jury to have a better idea of what you are trying to convey. Personally, I believe that AI is the future, and we should learn to use it better."
R19,5.5,Yes,Moderate,"ChatGPT, Copliot, or other text-based AI applications, Midjourney, Others","Cost, Speed of image generation, Customizability of generated images",Excellent,Excellent,Good,Neutral,Good,Neutral,Good,Good,Neutral,Neutral,Excellent,Yes,It works well! The best way to get desired results is having the user understand how the AI is reading the prompt. I have ChatGPT help me generate prompts for certain softwares based on examples I provide it
R20,6,Yes,Very satisfied,Others,Speed of image generation,Very poor,Very poor,Very poor,Very poor,Very poor,Very poor,Very poor,Very poor,Very poor,Very poor,Very poor,No,"From every architect I have ever worked with in the last 6 years, there has been a clear precedent as to the importance of your work in the discipline of architecture. Architecture is designs made by humans, for humans. A generative Artificial Intelligence will NEVER and can NEVER replace the characteristics of a human, as it will never truly envision or live within a building that it ""designs"". The decision to incorporate generative AI implicates that the department does not believe in its students, and while it attempts to raise the floor for minimum quality work, does not at all attempt to raise the ceiling as far as the detail for architectural creation. A student, at this rate, is fully expected to work completely proactively, or in my experience, work directly at the whim of the professor, lest receive a lower grade for not producing deliverables that meet the expectation of the project's rubric or design standard. For as long as I remain here at Texas A&M I will fully fight the incorporation of generative AI software. A tool is not a solution."
R21,4,Yes,Moderate,"ChatGPT, Copliot, or other text-based AI applications, Midjourney, Others","Tool usability, Speed of image generation",Good,Good,Good,Excellent,Poor,Poor,Good,Good,Neutral,Good,Good,Yes,"I enjoy using in architecture as it gives abstract and complex ideas for a project. Moreover, AI can bring a design to life and illuminate issues in a design, unlike traditional rendering you   mainly make your design realistic."
R22,1.5,Yes,Satisfied,"ChatGPT, Copliot, or other text-based AI applications, Midjourney","Speed of image generation, Quality and clarity of the generated image, Customizability of generated images",Good,Good,Good,Good,Good,Neutral,Good,Good,Poor,Neutral,Good,Yes,"It was very helpful to quickly try different strategies to see the consequences without spending a great amount of time doing it on the actual project, and end up reverting it."
R23,0.5,Yes,Satisfied,No,"Tool usability, Speed of image generation, Customizability of generated images",Poor,Good,Good,Excellent,Good,Neutral,Good,Good,Poor,Good,Good,Yes,I don't think it a reliable tool YET. But I can see myself using it a lot in the future. Mastering AI seems to be more beneficial than mastering design tools
R24,2,Yes,Dissatisfied,"ChatGPT, Copliot, or other text-based AI applications, Midjourney","Cost, Tool usability, Speed of image generation",Neutral,Neutral,Excellent,Good,Poor,Very poor,Neutral,Poor,Very poor,Very poor,Good,Yes,
